Total Trade Count: 223
 Total Stocks Transacted: 223
Total Amount Bought: $3972.7246
Total Amount Sold: $5120.437
Networth: $1411.245
Account: $1147.714
Summary of trades:
Amount: 1, Action: SELL, StockId: 0, Price: 8.91
Amount: 1, Action: SELL, StockId: 3, Price: 11.4207
Amount: 1, Action: BUY, StockId: 8, Price: 50.69
Amount: 1, Action: BUY, StockId: 0, Price: 8.92
Amount: 1, Action: SELL, StockId: 9, Price: 20.9585
Amount: 1, Action: BUY, StockId: 20, Price: 26.6146
Amount: 1, Action: SELL, StockId: 21, Price: 26.5579
Amount: 1, Action: BUY, StockId: 22, Price: 69.1593
Amount: 1, Action: BUY, StockId: 29, Price: 88.7927
Amount: 1, Action: SELL, StockId: 22, Price: 69.1295
Amount: 1, Action: BUY, StockId: 4, Price: 94.51
Amount: 1, Action: BUY, StockId: 15, Price: 45.87
Amount: 1, Action: BUY, StockId: 18, Price: 96.3649
Amount: 1, Action: SELL, StockId: 9, Price: 20.9486
Amount: 1, Action: BUY, StockId: 19, Price: 43.0649
Amount: 1, Action: BUY, StockId: 27, Price: 42.77
Amount: 1, Action: SELL, StockId: 28, Price: 67.9417
Amount: 1, Action: BUY, StockId: 26, Price: 85.1209
Amount: 1, Action: SELL, StockId: 30, Price: 134.0029
Amount: 1, Action: BUY, StockId: 0, Price: 8.8901
Amount: 1, Action: SELL, StockId: 9, Price: 20.9287
Amount: 1, Action: SELL, StockId: 4, Price: 94.33
Amount: 1, Action: SELL, StockId: 1, Price: 61.07
Amount: 1, Action: BUY, StockId: 15, Price: 45.93
Amount: 1, Action: SELL, StockId: 17, Price: 90.9662
Amount: 1, Action: SELL, StockId: 18, Price: 96.4444
Amount: 1, Action: SELL, StockId: 19, Price: 43.0451
Amount: 1, Action: SELL, StockId: 20, Price: 26.6989
Amount: 1, Action: SELL, StockId: 24, Price: 74.5268
Amount: 1, Action: SELL, StockId: 22, Price: 69.3279
Amount: 1, Action: SELL, StockId: 27, Price: 42.72
Amount: 1, Action: BUY, StockId: 29, Price: 88.8921
Amount: 1, Action: BUY, StockId: 30, Price: 134.0825
Amount: 1, Action: BUY, StockId: 1, Price: 61.03
Amount: 1, Action: SELL, StockId: 2, Price: 75.8528
Amount: 1, Action: BUY, StockId: 4, Price: 94.24
Amount: 1, Action: BUY, StockId: 7, Price: 45.8851
Amount: 1, Action: BUY, StockId: 5, Price: 20.8
Amount: 1, Action: SELL, StockId: 9, Price: 20.9287
Amount: 1, Action: BUY, StockId: 15, Price: 45.9
Amount: 1, Action: BUY, StockId: 23, Price: 34.06
Amount: 1, Action: SELL, StockId: 30, Price: 134.0526
Amount: 1, Action: BUY, StockId: 24, Price: 74.4969
Amount: 1, Action: SELL, StockId: 25, Price: 53.2827
Amount: 1, Action: SELL, StockId: 0, Price: 8.8801
Amount: 1, Action: SELL, StockId: 14, Price: 72.0536
Amount: 1, Action: SELL, StockId: 22, Price: 69.189
Amount: 1, Action: SELL, StockId: 12, Price: 191.8525
Amount: 1, Action: BUY, StockId: 2, Price: 76.0316
Amount: 1, Action: SELL, StockId: 4, Price: 94.55
Amount: 1, Action: BUY, StockId: 5, Price: 20.945
Amount: 1, Action: SELL, StockId: 6, Price: 111.7401
Amount: 1, Action: SELL, StockId: 11, Price: 16.8037
Amount: 1, Action: SELL, StockId: 12, Price: 191.7429
Amount: 1, Action: SELL, StockId: 16, Price: 36.6646
Amount: 1, Action: BUY, StockId: 17, Price: 90.738
Amount: 1, Action: SELL, StockId: 18, Price: 96.514
Amount: 1, Action: SELL, StockId: 13, Price: 21.6721
Amount: 1, Action: SELL, StockId: 20, Price: 26.5899
Amount: 1, Action: BUY, StockId: 24, Price: 74.4771
Amount: 1, Action: BUY, StockId: 28, Price: 67.9119
Amount: 1, Action: SELL, StockId: 23, Price: 33.98
Amount: 1, Action: BUY, StockId: 30, Price: 134.0029
Amount: 1, Action: BUY, StockId: 5, Price: 20.94
Amount: 1, Action: BUY, StockId: 6, Price: 111.492
Amount: 1, Action: BUY, StockId: 4, Price: 94.45
Amount: 1, Action: BUY, StockId: 1, Price: 60.33
Amount: 1, Action: BUY, StockId: 11, Price: 16.6646
Amount: 1, Action: BUY, StockId: 7, Price: 45.7959
Amount: 1, Action: BUY, StockId: 15, Price: 45.37
Amount: 1, Action: BUY, StockId: 8, Price: 50.53
Amount: 1, Action: BUY, StockId: 16, Price: 36.6646
Amount: 1, Action: BUY, StockId: 10, Price: 63.1329
Amount: 1, Action: BUY, StockId: 13, Price: 21.7166
Amount: 1, Action: BUY, StockId: 19, Price: 43.0946
Amount: 1, Action: BUY, StockId: 17, Price: 90.3015
Amount: 1, Action: BUY, StockId: 20, Price: 26.6394
Amount: 1, Action: BUY, StockId: 18, Price: 96.1959
Amount: 1, Action: BUY, StockId: 12, Price: 189.7911
Amount: 1, Action: SELL, StockId: 21, Price: 26.3497
Amount: 1, Action: BUY, StockId: 24, Price: 74.2483
Amount: 1, Action: BUY, StockId: 27, Price: 42.34
Amount: 1, Action: SELL, StockId: 22, Price: 68.9609
Amount: 1, Action: BUY, StockId: 28, Price: 67.733
Amount: 1, Action: BUY, StockId: 23, Price: 33.97
Amount: 1, Action: BUY, StockId: 30, Price: 133.5555
Amount: 1, Action: BUY, StockId: 26, Price: 84.7928
Amount: 1, Action: SELL, StockId: 25, Price: 53.0835
Amount: 1, Action: BUY, StockId: 29, Price: 88.7331
Amount: 1, Action: BUY, StockId: 9, Price: 20.897
Amount: 1, Action: SELL, StockId: 25, Price: 53.1831
Amount: 1, Action: BUY, StockId: 2, Price: 75.9621
Amount: 1, Action: BUY, StockId: 29, Price: 88.6039
Amount: 1, Action: BUY, StockId: 12, Price: 190.5778
Amount: 1, Action: SELL, StockId: 22, Price: 68.9212
Amount: 1, Action: SELL, StockId: 2, Price: 76.2601
Amount: 1, Action: SELL, StockId: 3, Price: 11.5396
Amount: 1, Action: BUY, StockId: 20, Price: 26.6791
Amount: 1, Action: BUY, StockId: 2, Price: 76.0813
Amount: 1, Action: BUY, StockId: 14, Price: 71.5378
Amount: 1, Action: SELL, StockId: 20, Price: 26.6841
Amount: 1, Action: BUY, StockId: 21, Price: 26.32
Amount: 1, Action: BUY, StockId: 29, Price: 88.6139
Amount: 1, Action: BUY, StockId: 0, Price: 8.8701
Amount: 1, Action: BUY, StockId: 9, Price: 20.9387
Amount: 1, Action: BUY, StockId: 20, Price: 26.7287
Amount: 1, Action: BUY, StockId: 12, Price: 189.9505
Amount: 1, Action: BUY, StockId: 16, Price: 36.9108
Amount: 1, Action: BUY, StockId: 20, Price: 26.7485
Amount: 1, Action: SELL, StockId: 20, Price: 26.7287
Amount: 1, Action: SELL, StockId: 29, Price: 88.6536
Amount: 1, Action: BUY, StockId: 22, Price: 69.1593
Amount: 1, Action: SELL, StockId: 2, Price: 76.0515
Amount: 1, Action: SELL, StockId: 12, Price: 190.6973
Amount: 1, Action: SELL, StockId: 22, Price: 69.1791
Amount: 1, Action: SELL, StockId: 3, Price: 11.4497
Amount: 1, Action: SELL, StockId: 2, Price: 76.2303
Amount: 1, Action: BUY, StockId: 9, Price: 21.018
Amount: 1, Action: SELL, StockId: 25, Price: 53.5815
