Total Trade Count: 309
Total Stocks Transacted: 309
Total Amount Bought: $6847.9473
Total Amount Sold: $5388.539
Networth: $-379.97986
Account: $-1459.4075
Summary of trades:
Amount: 1, Action: SELL, StockId: 22, Price: 69.0403
Amount: 1, Action: BUY, StockId: 14, Price: 71.9544
Amount: 1, Action: BUY, StockId: 4, Price: 94.58
Amount: 1, Action: SELL, StockId: 1, Price: 61.0
Amount: 1, Action: SELL, StockId: 5, Price: 20.79
Amount: 1, Action: SELL, StockId: 18, Price: 96.0568
Amount: 1, Action: SELL, StockId: 10, Price: 63.3915
Amount: 1, Action: BUY, StockId: 26, Price: 84.9519
Amount: 1, Action: SELL, StockId: 27, Price: 42.97
Amount: 1, Action: SELL, StockId: 16, Price: 36.6348
Amount: 1, Action: BUY, StockId: 22, Price: 69.0799
Amount: 1, Action: SELL, StockId: 16, Price: 36.6348
Amount: 1, Action: BUY, StockId: 21, Price: 26.4488
Amount: 1, Action: SELL, StockId: 9, Price: 20.9585
Amount: 1, Action: BUY, StockId: 8, Price: 50.38
Amount: 1, Action: BUY, StockId: 12, Price: 191.4342
Amount: 1, Action: SELL, StockId: 22, Price: 69.3974
Amount: 1, Action: BUY, StockId: 20, Price: 26.5849
Amount: 1, Action: SELL, StockId: 25, Price: 52.9839
Amount: 1, Action: BUY, StockId: 9, Price: 20.9486
Amount: 1, Action: SELL, StockId: 2, Price: 75.6342
Amount: 1, Action: BUY, StockId: 8, Price: 50.62
Amount: 1, Action: BUY, StockId: 16, Price: 36.6745
Amount: 1, Action: BUY, StockId: 20, Price: 26.7783
Amount: 1, Action: BUY, StockId: 21, Price: 26.5083
Amount: 1, Action: SELL, StockId: 8, Price: 50.7
Amount: 1, Action: BUY, StockId: 3, Price: 11.4597
Amount: 1, Action: BUY, StockId: 1, Price: 61.29
Amount: 1, Action: SELL, StockId: 4, Price: 94.43
Amount: 1, Action: BUY, StockId: 7, Price: 45.9148
Amount: 1, Action: BUY, StockId: 10, Price: 63.2622
Amount: 1, Action: SELL, StockId: 11, Price: 16.8733
Amount: 1, Action: BUY, StockId: 13, Price: 21.6572
Amount: 1, Action: SELL, StockId: 18, Price: 96.6531
Amount: 1, Action: SELL, StockId: 19, Price: 43.0253
Amount: 1, Action: SELL, StockId: 27, Price: 42.59
Amount: 1, Action: BUY, StockId: 24, Price: 74.5069
Amount: 1, Action: BUY, StockId: 30, Price: 134.162
Amount: 1, Action: BUY, StockId: 22, Price: 69.1791
Amount: 1, Action: SELL, StockId: 29, Price: 88.9517
Amount: 1, Action: BUY, StockId: 22, Price: 69.1692
Amount: 1, Action: BUY, StockId: 29, Price: 88.9815
Amount: 1, Action: SELL, StockId: 14, Price: 72.1221
Amount: 1, Action: SELL, StockId: 2, Price: 76.0813
Amount: 1, Action: SELL, StockId: 25, Price: 53.3524
Amount: 1, Action: SELL, StockId: 0, Price: 8.8901
Amount: 1, Action: SELL, StockId: 9, Price: 21.0081
Amount: 1, Action: BUY, StockId: 14, Price: 72.0834
Amount: 1, Action: SELL, StockId: 25, Price: 53.3225
Amount: 1, Action: SELL, StockId: 29, Price: 88.9517
Amount: 1, Action: BUY, StockId: 16, Price: 36.7341
Amount: 1, Action: SELL, StockId: 21, Price: 26.4885
Amount: 1, Action: BUY, StockId: 29, Price: 88.9617
Amount: 1, Action: BUY, StockId: 20, Price: 26.6791
Amount: 1, Action: BUY, StockId: 0, Price: 8.9299
Amount: 1, Action: BUY, StockId: 9, Price: 20.9912
Amount: 1, Action: BUY, StockId: 15, Price: 45.97
Amount: 1, Action: SELL, StockId: 13, Price: 21.6721
Amount: 1, Action: SELL, StockId: 25, Price: 53.472
Amount: 1, Action: BUY, StockId: 24, Price: 74.5367
Amount: 1, Action: BUY, StockId: 26, Price: 85.3992
Amount: 1, Action: BUY, StockId: 19, Price: 42.946
Amount: 1, Action: SELL, StockId: 2, Price: 76.0813
Amount: 1, Action: SELL, StockId: 14, Price: 71.9247
Amount: 1, Action: SELL, StockId: 22, Price: 69.1395
Amount: 1, Action: BUY, StockId: 29, Price: 88.9219
Amount: 1, Action: BUY, StockId: 3, Price: 11.4597
Amount: 1, Action: BUY, StockId: 4, Price: 94.58
Amount: 1, Action: BUY, StockId: 5, Price: 20.97
Amount: 1, Action: SELL, StockId: 6, Price: 111.7401
Amount: 1, Action: BUY, StockId: 10, Price: 63.1428
Amount: 1, Action: SELL, StockId: 17, Price: 90.7579
Amount: 1, Action: BUY, StockId: 27, Price: 42.54
Amount: 1, Action: BUY, StockId: 24, Price: 74.5566
Amount: 1, Action: SELL, StockId: 28, Price: 67.9715
Amount: 1, Action: SELL, StockId: 26, Price: 85.3197
Amount: 1, Action: BUY, StockId: 18, Price: 96.5537
Amount: 1, Action: BUY, StockId: 5, Price: 20.97
Amount: 1, Action: SELL, StockId: 4, Price: 94.58
Amount: 1, Action: BUY, StockId: 1, Price: 61.23
Amount: 1, Action: BUY, StockId: 13, Price: 21.6721
Amount: 1, Action: SELL, StockId: 17, Price: 90.7678
Amount: 1, Action: SELL, StockId: 16, Price: 36.7142
Amount: 1, Action: BUY, StockId: 22, Price: 69.1196
Amount: 1, Action: SELL, StockId: 23, Price: 34.03
Amount: 1, Action: SELL, StockId: 28, Price: 67.9814
Amount: 1, Action: SELL, StockId: 24, Price: 74.5566
Amount: 1, Action: BUY, StockId: 29, Price: 88.902
Amount: 1, Action: BUY, StockId: 30, Price: 134.1123
Amount: 1, Action: SELL, StockId: 12, Price: 191.9023
Amount: 1, Action: BUY, StockId: 22, Price: 69.0998
Amount: 1, Action: BUY, StockId: 14, Price: 71.9654
Amount: 1, Action: SELL, StockId: 3, Price: 11.4797
Amount: 1, Action: BUY, StockId: 1, Price: 61.15
Amount: 1, Action: BUY, StockId: 15, Price: 45.86
Amount: 1, Action: SELL, StockId: 18, Price: 96.4742
Amount: 1, Action: BUY, StockId: 20, Price: 26.5551
Amount: 1, Action: BUY, StockId: 27, Price: 42.51
Amount: 1, Action: BUY, StockId: 30, Price: 133.9731
Amount: 1, Action: BUY, StockId: 8, Price: 50.56
Amount: 1, Action: BUY, StockId: 1, Price: 61.21
Amount: 1, Action: SELL, StockId: 2, Price: 75.9323
Amount: 1, Action: SELL, StockId: 12, Price: 191.7429
Amount: 1, Action: SELL, StockId: 6, Price: 111.8988
Amount: 1, Action: BUY, StockId: 24, Price: 74.5268
Amount: 1, Action: SELL, StockId: 30, Price: 134.0328
Amount: 1, Action: BUY, StockId: 28, Price: 67.8721
Amount: 1, Action: BUY, StockId: 24, Price: 74.5069
Amount: 1, Action: BUY, StockId: 0, Price: 8.8602
Amount: 1, Action: SELL, StockId: 25, Price: 53.0934
Amount: 1, Action: BUY, StockId: 20, Price: 26.808
Amount: 1, Action: BUY, StockId: 16, Price: 36.5653
