Tick Size: 1593
The World has been created at Thu Apr 25 13:01:35 CDT 2013
Trade [numShares=1, stockId=12, action=SELL]
Trade [numShares=1, stockId=16, action=SELL]
sell stock id: 16, a:1, p:36.605
Trade [numShares=1, stockId=18, action=BUY]
buy stock id: 18, a:1, p:95.7388
Trade [numShares=1, stockId=23, action=SELL]
sell stock id: 23, a:1, p:34.36
Trade [numShares=1, stockId=22, action=SELL]
sell stock id: 22, a:1, p:68.6534
Trade [numShares=1, stockId=28, action=SELL]
sell stock id: 28, a:1, p:68.2
Trade [numShares=1, stockId=29, action=BUY]
buy stock id: 29, a:1, p:88.9915
Trade [numShares=1, stockId=1, action=BUY]
buy stock id: 1, a:1, p:61.26
Trade [numShares=1, stockId=26, action=SELL]
sell stock id: 26, a:1, p:84.763
Trade [numShares=1, stockId=13, action=BUY]
buy stock id: 13, a:1, p:21.7562
Trade [numShares=1, stockId=28, action=BUY]
buy stock id: 28, a:1, p:68.2696
Trade [numShares=1, stockId=27, action=BUY]
buy stock id: 27, a:1, p:43.31
Trade [numShares=1, stockId=17, action=BUY]
buy stock id: 17, a:1, p:90.8273
Trade [numShares=1, stockId=24, action=SELL]
sell stock id: 24, a:1, p:74.3179
Trade [numShares=1, stockId=11, action=BUY]
buy stock id: 11, a:1, p:16.0187
Trade [numShares=1, stockId=18, action=BUY]
buy stock id: 18, a:1, p:95.6493
Trade [numShares=1, stockId=25, action=SELL]
sell stock id: 25, a:1, p:52.7149
Trade [numShares=1, stockId=12, action=BUY]
buy stock id: 12, a:1, p:193.6947
Trade [numShares=1, stockId=2, action=SELL]
sell stock id: 2, a:1, p:74.6008
Trade [numShares=1, stockId=3, action=BUY]
buy stock id: 3, a:1, p:11.6096
Trade [numShares=1, stockId=9, action=BUY]
buy stock id: 9, a:1, p:21.0279
Trade [numShares=1, stockId=2, action=SELL]
sell stock id: 2, a:1, p:75.2268
Trade [numShares=1, stockId=9, action=BUY]
buy stock id: 9, a:1, p:21.0279
Trade [numShares=1, stockId=13, action=BUY]
Trade [numShares=1, stockId=11, action=BUY]
buy stock id: 13, a:1, p:21.8353
buy stock id: 11, a:1, p:16.3267
Trade [numShares=1, stockId=15, action=SELL]
sell stock id: 15, a:1, p:45.6
Trade [numShares=1, stockId=17, action=BUY]
buy stock id: 17, a:1, p:91.0753
Trade [numShares=1, stockId=22, action=BUY]
Trade [numShares=1, stockId=14, action=BUY]
buy stock id: 14, a:1, p:71.9148
buy stock id: 22, a:1, p:69.0006
Trade [numShares=1, stockId=3, action=BUY]
buy stock id: 3, a:1, p:11.4197
Trade [numShares=1, stockId=20, action=SELL]
sell stock id: 20, a:1, p:26.6593
Trade [numShares=1, stockId=14, action=BUY]
Trade [numShares=1, stockId=22, action=SELL]
sell stock id: 22, a:1, p:69.0403
buy stock id: 14, a:1, p:71.9544
Trade [numShares=1, stockId=4, action=BUY]
buy stock id: 4, a:1, p:94.58
Trade [numShares=1, stockId=1, action=SELL]
sell stock id: 1, a:1, p:61.0
Trade [numShares=1, stockId=5, action=SELL]
sell stock id: 5, a:1, p:20.79
Trade [numShares=1, stockId=10, action=SELL]
Trade [numShares=1, stockId=18, action=SELL]
sell stock id: 18, a:1, p:96.0568
sell stock id: 10, a:1, p:63.3915
Trade [numShares=1, stockId=26, action=BUY]
buy stock id: 26, a:1, p:84.9519
Trade [numShares=1, stockId=27, action=SELL]
sell stock id: 27, a:1, p:42.97
Trade [numShares=1, stockId=16, action=SELL]
sell stock id: 16, a:1, p:36.6348
Trade [numShares=1, stockId=22, action=BUY]
buy stock id: 22, a:1, p:69.0799
Trade [numShares=1, stockId=16, action=SELL]
sell stock id: 16, a:1, p:36.6348
Trade [numShares=1, stockId=21, action=BUY]
buy stock id: 21, a:1, p:26.4488
Trade [numShares=1, stockId=9, action=SELL]
sell stock id: 9, a:1, p:20.9585
Trade [numShares=1, stockId=12, action=BUY]
Trade [numShares=1, stockId=8, action=BUY]
buy stock id: 8, a:1, p:50.38
buy stock id: 12, a:1, p:191.4342
Trade [numShares=1, stockId=22, action=SELL]
